,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
0,castro,0,CL,1539219374,81,-42.48,-73.76,7.17,3.91
1,boyabat,20,TR,1539219374,87,41.47,34.77,5.05,1.41
2,bluff,24,AU,1539219375,29,-23.58,149.07,32.17,6.31
3,kununurra,75,AU,1539218400,45,-15.77,128.74,29,7.7
4,port hardy,40,CA,1539216000,87,50.7,-127.42,11,2.6
5,antalaha,80,MG,1539219375,96,-14.9,50.28,22.52,5.71
6,namatanai,76,PG,1539219375,93,-3.66,152.44,29.65,5.16
7,punta arenas,75,CL,1539216000,65,-53.16,-70.91,7,11.8
8,narsaq,88,GL,1539215400,63,60.91,-46.05,-2,1
9,cape town,75,ZA,1539216000,82,-33.93,18.42,17,6.2
10,torbay,90,CA,1539216000,86,47.66,-52.73,3,7.2
11,mataura,36,NZ,1539219376,99,-46.19,168.86,8.8,1.01
12,lorengau,48,PG,1539219377,97,-2.02,147.27,29.17,3.76
13,kapaa,75,US,1539215760,65,22.08,-159.32,30,4.6
14,cabo san lucas,40,MX,1539215160,57,22.89,-109.91,27,3.6
15,port elizabeth,75,US,1539215760,93,39.31,-74.98,24,3.1
16,tautira,75,PF,1539217800,62,-17.73,-149.15,30,3.6
17,killam,76,CA,1539219378,95,52.79,-111.86,-0.41,3.16
18,rikitea,32,PF,1539219378,94,-23.12,-134.97,24,6.81
19,puerto ayora,0,EC,1539219378,100,-0.74,-90.35,22.75,4.76
20,aksu,0,KZ,1539216000,100,52.04,76.93,-4,3
23,alpena,90,US,1539218880,94,45.06,-83.43,20,4.6
24,nikki,80,BJ,1539219379,99,9.94,3.21,21.07,3.31
25,vao,0,EE,1539219379,86,59.1,26.19,5.17,1.16
26,cayenne,0,GF,1539217800,100,4.94,-52.33,26,2.1
27,hithadhoo,68,MV,1539219380,100,-0.6,73.08,27.1,4.11
28,atuona,88,PF,1539219380,100,-9.8,-139.03,26.75,6.61
29,ushuaia,75,AR,1539216000,93,-54.81,-68.31,5,12.3
30,vaini,0,IN,1539219261,87,15.34,74.49,18.32,0.86
31,cabra,0,ES,1539217800,77,37.47,-4.43,19,1.01
32,hilo,75,US,1539216420,67,19.71,-155.08,27.8,4.6
33,east london,92,ZA,1539219381,100,-33.02,27.91,20.67,3.61
34,ostrovnoy,88,RU,1539219381,90,68.05,39.51,1.45,8.21
35,dikson,64,RU,1539219381,100,73.51,80.55,1.45,10.71
36,nikolskoye,0,RU,1539216000,93,59.7,30.79,4,2
37,emborion,0,GR,1539219382,85,40.48,21.55,2.07,1.06
38,awjilah,0,LY,1539219382,55,29.14,21.3,20.8,4.01
